fecha,coleccion,slug,floor_eth,floor_usd
2026-09-01,Chain Mancers,chain-mancers,1.2,2887.93
2026-09-01,H00dle,h00dle,0.003963169799999998,9.54
2026-09-01,Gremlin Cartel,gremlin-cartel,0.0062806299,15.12
2026-09-01,Robinhood Kitties,robinhood-kitties,0.01479633,35.61
2026-09-01,PitBoys,pitboys,0.02494559899799999,60.03
2026-09-01,Bulls Runners Genesis,bulls-runners-genesis,0.0396353,95.39
2026-09-01,Yardkeepers,yardkeepers,0.48999,1179.21
2026-09-01,Robinhood Punks,robinhood-punks,0.009279,22.33
2026-09-01,Chain Mancers,chain-mancers,1.2,2889.37
2026-09-01,pyopyopyopyo,pyopyopyopyo-nft,0.03,72.23
2026-09-01,H00dle,h00dle,0.00396235,9.54
2026-09-01,Gremlin Cartel,gremlin-cartel,0.0062536299,15.06
2026-09-01,Robinhood Kitties,robinhood-kitties,0.0147943,35.62
2026-09-01,PitBoys,pitboys,0.024914898996000006,59.99
2026-09-01,Bulls Runners Genesis,bulls-runners-genesis,0.0396349,95.43
2026-09-01,Yardkeepers,yardkeepers,0.48999,1179.8
2026-09-01,Robinhood Punks,robinhood-punks,0.009279,22.34
2026-09-01,Rekt Tradooor,rekt-tradooor,0.0457917,110.26
2026-09-01,ukiyo,ukiyo-rh,0.0034793783,8.38
2026-09-01,The Suits,the-suits-nft,0.007705,18.55
2026-09-01,Toadzers,toadzers,0.0012385837,2.98
2026-09-01,urufu gemu,urufugemu,0.0111194,26.77
2026-09-01,DIVERGENTS,divergents,0.0012905,3.11
2026-09-01,CyberLeek Genesis,cyberleek-genesis,0.0002,0.48
2026-09-01,Black Label Birds,black-label-birds,0.001,2.41
2026-09-01,ROBO BROKERS,robo-brokers,0.001431924599999955,3.45
2026-09-01,Sherwood Outlaws,sherwood-outlaws,0.0005998,1.44
2026-09-01,WIF Outlaws,wif-outlaws,0.209999,505.64
2026-09-01,Veggie Traders,veggie-traders,0.0001497,0.36
2026-09-01,Internet Monkes,internetmonkes,0.0159611,38.43
2026-09-01,Hopium Machines,hopium-machines,0.0033664,8.11
2026-09-01,QUOTRONS,quotrons,6.49,15615
2026-09-01,Chain Mancers,chain-mancers,1.2,2887.21
2026-09-01,pyopyopyopyo,pyopyopyopyo-nft,0.03,72.18
2026-09-01,H00dle,h00dle,0.0039608294,9.53
2026-09-01,Gremlin Cartel,gremlin-cartel,0.00623742,15.01
2026-09-01,Robinhood Kitties,robinhood-kitties,0.01479228,35.59
2026-09-01,PitBoys,pitboys,0.0248707924,59.84
2026-09-01,Bulls Runners Genesis,bulls-runners-genesis,0.04005995,96.38
2026-09-01,Yardkeepers,yardkeepers,0.48999,1178.92
2026-09-01,Robinhood Punks,robinhood-punks,0.008999,21.65
2026-09-01,Rekt Tradooor,rekt-tradooor,0.045787899999,110.17
2026-09-01,ukiyo,ukiyo-rh,0.0034786776,8.37
2026-09-01,The Suits,the-suits-nft,0.007705,18.54
2026-09-01,Toadzers,toadzers,0.001237482099999999,2.98
2026-09-01,urufu gemu,urufugemu,0.0110973997,26.7
2026-09-01,DIVERGENTS,divergents,0.0012905,3.1
2026-09-01,CyberLeek Genesis,cyberleek-genesis,0.0002,0.48
2026-09-01,Black Label Birds,black-label-birds,0.001,2.41
2026-09-01,ROBO BROKERS,robo-brokers,0.001424417199999931,3.43
2026-09-01,Sherwood Outlaws,sherwood-outlaws,0.0005998,1.44
2026-09-01,WIF Outlaws,wif-outlaws,0.209999,505.26
2026-09-01,Veggie Traders,veggie-traders,0.0001497,0.36
2026-09-01,Internet Monkes,internetmonkes,0.01596,38.4
2026-09-01,Hopium Machines,hopium-machines,0.0032398,7.79
2026-09-01,Chain Mancers,chain-mancers,1.2,2887.76
2026-09-01,OnChainHoodies,rh-onchainhoodies,0.02,48.13
2026-09-01,pyopyopyopyo,pyopyopyopyo-nft,0.03,72.19
2026-09-01,H00dle,h00dle,0.003960509999999999,9.53
2026-09-01,Gremlin Cartel,gremlin-cartel,0.00623322,15
2026-09-01,Robinhood Kitties,robinhood-kitties,0.01479127,35.59
2026-09-01,PitBoys,pitboys,0.0248559904,59.82
2026-09-01,Bulls Runners Genesis,bulls-runners-genesis,0.0400476,96.37
2026-09-01,Yardkeepers,yardkeepers,0.48999,1179.15
2026-09-01,RH MACHINES,rhmachines,0.07,168.45
2026-09-01,Robinhood Punks,robinhood-punks,0.008999,21.66
2026-09-01,Rekt Tradooor,rekt-tradooor,0.0457862,110.18
2026-09-01,ukiyo,ukiyo-rh,0.0034784773,8.37
2026-09-01,The Suits,the-suits-nft,0.007705,18.54
2026-09-01,Toadzers,toadzers,0.001237281799999999,2.98
2026-09-01,urufu gemu,urufugemu,0.0110856,26.68
2026-09-01,DIVERGENTS,divergents,0.0012905,3.11
2026-09-01,CyberLeek Genesis,cyberleek-genesis,0.0002,0.48
2026-09-01,Black Label Birds,black-label-birds,0.001,2.41
2026-09-01,ROBO BROKERS,robo-brokers,0.00142111399999992,3.42
2026-09-01,Sherwood Outlaws,sherwood-outlaws,0.0005998,1.44
2026-09-01,WIF Outlaws,wif-outlaws,0.209999,505.36
2026-09-01,Veggie Traders,veggie-traders,0.0001497,0.36
2026-09-01,Internet Monkes,internetmonkes,0.01596,38.41
2026-09-01,Hopium Machines,hopium-machines,0.0032284,7.77
2026-09-01,Chain Mancers,chain-mancers,1.199,2892
2026-09-01,OnChainHoodies,rh-onchainhoodies,0.02,48.24
2026-09-01,pyopyopyopyo,pyopyopyopyo-nft,0.03,72.36
2026-09-01,H00dle,h00dle,0.0039553098,9.54
2026-09-01,Gremlin Cartel,gremlin-cartel,0.00618005,14.91
2026-09-01,Robinhood Kitties,robinhood-kitties,0.01478421,35.66
2026-09-01,PitBoys,pitboys,0.0247400646,59.67
2026-09-01,Bulls Runners Genesis,bulls-runners-genesis,0.038999999999,94.07
2026-09-01,Yardkeepers,yardkeepers,0.48999,1181.86
2026-09-01,RH MACHINES,rhmachines,0.07,168.84
2026-09-01,Robinhood Punks,robinhood-punks,0.008998,21.7
2026-09-01,Rekt Tradooor,rekt-tradooor,0.0457775,110.42
2026-09-01,ukiyo,ukiyo-rh,0.0034766754,8.39
2026-09-01,The Suits,the-suits-nft,0.007705,18.58
2026-09-01,Toadzers,toadzers,0.001227878386999979,2.96
2026-09-01,urufu gemu,urufugemu,0.0109749999,26.47
2026-09-01,DIVERGENTS,divergents,0.0015,3.62
2026-09-01,CyberLeek Genesis,cyberleek-genesis,0.0002,0.48
2026-09-01,Black Label Birds,black-label-birds,0.000999,2.41
2026-09-01,ROBO BROKERS,robo-brokers,0.001389883099999819,3.35
2026-09-01,Sherwood Outlaws,sherwood-outlaws,0.0005997,1.45
2026-09-01,WIF Outlaws,wif-outlaws,0.209999,506.52
2026-09-01,Veggie Traders,veggie-traders,0.0001497,0.36
2026-09-01,Internet Monkes,internetmonkes,0.01595987,38.5
2026-09-01,Hopium Machines,hopium-machines,0.0031867148914765,7.69
2026-09-01,Chain Mancers,chain-mancers,1.199,2890.97
2026-09-01,OnChainHoodies,rh-onchainhoodies,0.02,48.22
2026-09-01,pyopyopyopyo,pyopyopyopyo-nft,0.03,72.33
2026-09-01,H00dle,h00dle,0.00395435,9.53
2026-09-01,Gremlin Cartel,gremlin-cartel,0.0061575399,14.85
2026-09-01,Robinhood Kitties,robinhood-kitties,0.0147832,35.64
2026-09-01,PitBoys,pitboys,0.0247132571,59.59
2026-09-01,Bulls Runners Genesis,bulls-runners-genesis,0.038999999999,94.03
2026-09-01,Yardkeepers,yardkeepers,0.48999,1181.44
2026-09-01,RH MACHINES,rhmachines,0.07,168.78
2026-09-01,Robinhood Punks,robinhood-punks,0.008994,21.69
2026-09-01,Rekt Tradooor,rekt-tradooor,0.045773599999,110.37
2026-09-01,ukiyo,ukiyo-rh,0.0034760748,8.38
2026-09-01,The Suits,the-suits-nft,0.007705,18.58
2026-09-01,Toadzers,toadzers,0.001224378352999922,2.95
2026-09-01,urufu gemu,urufugemu,0.0109594,26.42
2026-09-01,DIVERGENTS,divergents,0.0021888,5.28
2026-09-01,CyberLeek Genesis,cyberleek-genesis,0.0002,0.48
2026-09-01,Black Label Birds,black-label-birds,0.000999,2.41
2026-09-01,ROBO BROKERS,robo-brokers,0.001383676799999995,3.34
2026-09-01,Sherwood Outlaws,sherwood-outlaws,0.0005998,1.45
2026-09-01,WIF Outlaws,wif-outlaws,0.209999,506.34
2026-09-01,Veggie Traders,veggie-traders,0.0001497,0.36
2026-09-01,Internet Monkes,internetmonkes,0.01595987,38.48
2026-09-01,Hopium Machines,hopium-machines,0.003185714,7.68
2026-09-02,Chain Mancers,chain-mancers,1.1989,2903.22
2026-09-02,OnChainHoodies,rh-onchainhoodies,0.02,48.43
2026-09-02,pyopyopyopyo,pyopyopyopyo-nft,0.03,72.65
2026-09-02,H00dle,h00dle,0.0039783,9.63
2026-09-02,Gremlin Cartel,gremlin-cartel,0.005978256269,14.48
